ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
44731507,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6,Automatic,4x4,04-May,Left wheel,Silver,12
45801686,16621,1018,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000 km,6,Tiptronic,4x4,04-May,Left wheel,Black,8
45801109,1000,-,HONDA,Element,2012,Sedan,No,Petrol,0.1,5000 km,1,Automatic,Rear,04-May,Left wheel,Black,0
45801109,3607,862,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966 km,4,Automatic,4x4,04-May,Left wheel,White,0
45801684,11726,446,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45732386,39493,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931 km,4,Automatic,Front,04-May,Left wheel,White,4
45808746,1803,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909 km,4,Automatic,Front,04-May,Left wheel,White,12
45808746,549,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118 km,4,Automatic,Front,04-May,Left wheel,Grey,12
45451626,1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4,Automatic,Front,04-May,Left wheel,Black,12
45807577,300,-,MERCEDES-BENZ,Sprinter,2020,Microbus,No,Petrol,0.1,0 km,1,Manual,Rear,04-May,Left wheel,Beige,0
45813342,941,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467 km,6,Automatic,Rear,04-May,Left wheel,White,12
45804525,2500,-,VAZ,2106,1988,Sedan,No,Petrol,0.3,0 km,4,Manual,Rear,04-May,Left wheel,Yellow,0
45810175,3000,-,VAZ,2107,1990,Sedan,No,Petrol,0.3,18101 km,4,Manual,Rear,04-May,Left wheel,White,0
45730143,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6,Automatic,Front,04-May,Left wheel,White,12
45815351,59464,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,76000 km,4,Automatic,Front,04-May,Left wheel,White,4
45781924,549,1079,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,74146 km,4,Automatic,Front,04-May,Left wheel,White,12
45792346,7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840 km,4,Automatic,Front,04-May,Left wheel,Blue,12
45654826,28382,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317 km,4,Automatic,Front,04-May,Left wheel,White,4
